"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3",
"Africa Eastern and Southern","AFE","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","2","","2","2","4","4","4","3","3","4","4","4","5","6","6","6","6","6","6","6","5","5","5",
"Africa Western and Central","AFW","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","4","","4","","4","5","6","5","6","5","5","6","7","7","6","7","7","6","6","7","7","7","6","7","7",
"Albania","ALB","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","3","","3","","3","3","4","5","6","6","6","6","6","7","8","8","8","8","8","8","8","7","6","6","6",
"Andorra","AND","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","1","","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","3","3","3","3",
"Arab World","ARB","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","4","","4","","4","4","6","6","6","6","6","7","7","9","9","9","9","9","9","9","9","8","7","7","7",
"Argentina","ARG","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","4","","5","","6","6","7","7","8","8","8","8","8","9","9","9","9","9","9","9","9","8","7","7","7",
"Armenia","ARM","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","3","","3","","3","3","4","5","6","6","6","6","6","6","7","7","7","7","7","7","7","6","5","5","5",
"American Samoa","ASM","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","1",
"Antigua and Barbuda","ATG","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","1","","1","2","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4",
"Australia","AUS","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","4","","5","","6","6","7","7","7","7","7","8","8","9","9","9","9","9","9","10","10","9","8","8","8",
"Austria","AUT","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","4","","5","","6","6","7","7","7","7","7","8","8","9","9","9","9","9","9","9","9","8","7","7","7",
"Azerbaijan","AZE","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","4","","4","","4","4","5","6","6","6","6","7","7","7","7","7","7","7","7","7","7","6","5","5","5",
"Burundi","BDI","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","2","","2","2","3","3","5","5","5","5","5","5","6","6","6","6","6","6","6","5","4","4","4",
"Belgium","BEL","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","4","","5","","6","6","7","7","7","7","7","8","8","9","9","9","9","9","9","9","9","8","7","7","7",
"Benin","BEN","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","2","","2","2","3","4","6","6","6","6","6","6","6","6","5","6","6","6","6","5","4","5","5",
"Burkina Faso","BFA","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","3","","3","","3","3","4","4","7","7","7","7","7","7","8","8","8","7","7","7","7","7","6","6","6",
"Bangladesh","BGD","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","4","","4","","5","5","6","6","7","7","7","7","7","8","8","8","8","8","8","8","8","7","6","7","7",
"Bulgaria","BGR","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","4","","4","","5","5","6","6","8","8","8","8","8","9","9","9","9","9","9","9","9","8","7","7","7",
"Bahrain","BHR","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","4","","4","","4","4","6","6","6","6","6","7","7","7","7","7","7","7","7","6","6","6","5","6","6",
"Bahamas, The","BHS","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","3","","3","","3","3","4","4","4","4","4","5","5","5","5","5","5","6","6","6","6","6","6","6","6",
"Bosnia and Herzegovina","BIH","Political Stability and Absence of Violence/Terrorism: Number of Sources","PV.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","3","","3","","3","3","5","5","5","5","5","5","5","4","7","7","6","7","7","7","7","6","5","5","5",
